Ano,Exportações,Importações
1997,52947495532,60537962059
1998,51076603549,58672860908
1999,47945909310,50259540356
2000,54993159648,56976350170
2001,58032294243,56569020182
2002,60147158103,48274763553
2003,72776746690,49307163152
2004,95121672369,63813636668
2005,118597835407,74692215554
2006,137581151209,92531096870
2007,159816383833,122041949120
2008,195764624177,174707087626
2009,151791674186,129397611523
2010,200434134826,183336964846
2011,253666309507,227969756701
2012,239952538158,225166426069
2013,232544255606,241500886459
2014,220923236838,230823018796
2015,186782355063,173104259077
2016,179526129214,139321357653
2017,214988108353,158951444003
2018,231889523399,185321983502
2019,221126807647,185927967580
2020,209180241655,158786824879
2021,108638439939,99156181001
